titre,numéro,mots_clefs,catégorie
Spectacle du siècle ou pétard mouillé?,15/11/2013,"Comètes -- Observations
Comètes
Ison, Comète",
Un grand ménage pas ordinaire,15/10/2013,"Décontamination des cours d'eau, lacs, etc. -- Québec (Province) -- Chaudière-Appalaches
Déraillement et explosion d'un train pétrolier, Lac-Mégantic, Québec, 2013
Catastrophes écologiques -- Québec (Province) -- Lac-Mégantic
Chaudière, Rivière (Québec) -- Pollution
Mégantic, Lac (Le Granit, Québec) -- Pollution",
Un salmigondis de polluants,15/10/2013,"Déraillement et explosion d'un train pétrolier, Lac-Mégantic, Québec, 2013
Catastrophes écologiques -- Québec (Province) -- Lac-Mégantic
Pollution de l'eau -- Québec (Province) -- Chaudière-Appalaches
Pollution par les hydrocarbures -- Québec (Province) -- Chaudière-Appalaches
Polluants de l'eau -- Québec (Province) -- Chaudière-Appalaches
Chaudière, Rivière (Québec) -- Pollution",
Orgue et délices,15/10/2013,"Casavant Frères (Firme)
Orgue -- Facture
Orgue -- Québec (Province) -- Montréal",
Récupérer les trésors de la boue,15/10/2013,"Tyagi, Rajeshwar Dayal
Boues d'épuration -- Caractérisation
Biotechnologie microbienne -- Recherche -- Québec (Province)
Biodiesel -- Recherche -- Québec (Province)
Matières plastiques biodégradables -- Recherche -- Québec (Province)
Pesticides biologiques -- Recherche -- Québec (Province)",
Coup de chaud sur la vigne,15/10/2013,"Climat -- Changements -- Aspect de l'environnement
Viticulture -- Facteurs climatiques
Vin -- Teneur en alcool
Réchauffement de la terre -- Aspect de l'environnement",
Les baleines à bosse ont de la culture!,15/10/2013,"Imitation chez les animaux
Apprentissage chez les animaux
Prédation (Biologie)
Baleine à bosse -- Recherche
Comportement acquis chez les animaux -- Transmission
Baleine à bosse -- Moeurs et comportement",
Bande d'emplumés!,15/10/2013,"Reptiles fossiles -- Alberta
Plumes
Dinosaures -- Évolution
Fouilles (Paléontologie) -- Alberta",
"Roses, irradiées et bien élevées",15/10/2013,"Prisme (Consortium)
Mouches, Lutte contre les -- Québec (Province)
Mouches -- Stérilisation
Mouches -- Elevage -- Québec (Province) -- Montréal, Région de
Ennemis des cultures, Lutte contre les -- Québec (Province)",
"Il faut ""éduquer"" l'attention d'un enfant""""",15/10/2013,"Lachaux, Jean-Philippe
Éducation -- Technologie de l'information
Attention chez l'enfant
Attention, Troubles de l'
Cerveau -- Physiologie
Internet et enfants",
Les lendemains d'un désastre,15/10/2013,"Déraillement et explosion d'un train pétrolier, Lac-Mégantic, Québec, 2013
Catastrophes écologiques -- Québec (Province) -- Lac-Mégantic
Environnement -- Evaluation du risque -- Québec (Province) -- Chaudière-Appalaches
Eau -- Qualité -- Québec (Province) -- Chaudière-Appalaches
Eau -- Approvisionnement -- Québec (Province) -- Chaudière-Appalaches
Pollution de l'eau, Lutte contre la -- Québec (Province) -- Chaudière-Appalaches
Pollution par les hydrocarbures -- Québec (Province) -- Chaudière-Appalaches
Chaudière, Rivière (Québec) -- Pollution",
L'histoire derrière l'écran,15/10/2013,"Micro-ordinateurs -- Histoire
Transistors -- Histoire",
Aux origines du monde,15/08/2013,"Gamètes
Reproduction (Biologie)
Reproduction asexuée
Evolution (Biologie) -- Aspect génétique",
Nos enfants ne dorment pas assez,15/08/2013,"Succès scolaire
Sommeil -- Privation -- Effets physiologiques
Jeunesse et technologie de l'information -- Pays industrialisés
Technologie de l'information -- Aspect social",
2 5000 pieds d'adrénaline,15/08/2013,"Société technique Oronos
Intercollegiate Rocket Engineering Competition
Aéronautique -- Concours -- Etats-Unis
Fusées -- Construction d'amateurs",
Beautés fatales,15/08/2013,"Agression intermâle
Différences entre sexes chez les animaux
Sélection sexuelle chez les animaux
Compétition (Biologie)",
Toutes les nuances de gris,15/08/2013,"Sexe -- Détermination -- Facteurs génétiques
Hermaphrodisme chez les animaux
Pseudohermaphrodisme
Différenciation sexuelle -- Anomalies
Sexe -- Détermination -- Facteurs environnementaux",
Une affaire de culture,15/08/2013,"Barrette, Cyrille
Sexualité
Reproduction humaine",
Secrets d'alcôve,15/08/2013,"Phéromones
Désir sexuel
Attrait sexuel
Orgasme",
L'après-boson,15/08/2013,"Gagnon, Pauline
Centre européen de recherches nucléaires
Higgs, Boson de
Physique des particules -- Europe
Particules (Physique nucléaire) -- Recherche
Collisionneurs -- Europe",
Palmarès,15/08/2013,"Organes génitaux
Reproduction animale
Comportement sexuel chez les animaux",
Comment faire bander un éléphant sans le fatiguer,15/08/2013,"Fécondation in vitro (Médecine vétérinaire)
Insémination artificielle
Animaux sauvages en captivité -- Reproduction
Eléphants -- Reproduction
Reproduction animale assistée, Techniques de",
"L'eau, richesse cachée",15/06/2013,"Climat -- Changements -- Aspect de l'environnement -- Québec (Province)
Eau souterraine -- Recherche -- Québec (Province)
Eau -- Facteurs climatiques -- Québec (Province)
Réchauffement de la terre -- Aspect de l'environnement -- Québec (Province)",
Le plein de volts!,15/06/2013,"Transports publics -- Québec (Province)
Transport -- Aspect de l'environnement -- Québec (Province)
Véhicules électriques -- Economies d'énergie
Automobiles électriques -- Alimentation en énergie",
L'assiette et la mémoire,15/06/2013,"Malbouffe
Habitudes alimentaires
Syndrome des faux souvenirs
Suggestion mentale
Alimentation -- Aspect psychologique",
Méduses,15/06/2013,"Méduses -- Distribution géographique
Méduses -- Québec (Province)",
L'orchestre de la nature,15/06/2013,"Krause, Bernie
Animaux -- Production de sons
Animaux -- Sons -- Enregistrement et reproduction
Nature -- Sons
Nature -- Sons -- Enregistrement et reproduction",
La fabrique des fous,15/06/2013,"St-Onge, Jean-Claude
Diagnostic and statistical manual of mental disorders (Livre)
Psychotropes -- Consommation -- Amérique du Nord
Médicaments -- Abus -- Amérique du Nord
Psychiatrie biologique
Industrie pharmaceutique -- Pratiques déloyales",
Barbecue,15/06/2013,"Maillard, Réaction de
Grillade -- Aspect de la santé
Cancérogènes
Cuisine au barbecue -- Aspect de la santé",
Scanner sous tous les angles,15/06/2013,"Creaform (Firme)
Numériseurs tridimensionnels
Lasers",
Pays sauvage,15/04/2013,"Développement économique régional -- Québec (Nord)
Développement économique régional -- Politique gouvernementale -- Québec (Province)
Projets de développement -- Québec (Nord)
Québec (Nord) -- Economie
Nord-du-Québec (Québec) -- Histoire",
Forêt sous surveillance,15/04/2013,"Québec (Province). Commission d'étude sur la gestion de la forêt publique québécoise
Forêts boréales -- Recherche -- Québec (Province)
Forêts boréales -- Gestion -- Québec (Province)
Forêts boréales -- Protection -- Québec (Province)",
"Laitues, tomates, chicoutai et camarine...",15/04/2013,"Industrie agro-alimentaire -- Québec (Nord)
Produits du terroir -- Québec (Nord)
Premières nations -- Québec (Nord) -- Agriculture
Réchauffement de la terre -- Aspect de l'environnement -- Québec (Nord)
Climat -- Changements -- Aspect de l'environnement -- Québec (Nord)
Agriculture -- Facteurs climatiques -- Québec (Nord)",
Maud Watt,15/04/2013,"Watt, Maud
Compagnie de la Baie d'Hudson
Défenseurs de l'environnement -- Québec (Province) -- Biographies
Fourrures -- Industrie et commerce -- Québec (Province) -- Histoire
Castors -- Protection -- Québec (Province) -- Histoire
Cris (Autochtones) -- Histoire",
Une traversée de la toundra,15/04/2013,Québec (Nord) -- Descriptions et voyages,
Pays de richesses,15/04/2013,"Mines à ciel ouvert -- Québec (Province) -- Malartic
Mines -- Industrie -- Aspect de l'environnement -- Québec (Province) -- Malartic
Technique minière
Ressources minérales -- Exploitation -- Québec (Province)",
La fin des grands barrages,15/04/2013,"Hydro-Québec (Firme)
Gaz naturel -- Aspect économique -- Amérique du Nord
Barrages hydroélectriques -- Québec (Nord)
Gaz naturel -- Prix -- Etats-Unis
Energie éolienne -- Québec (Nord)
Centrales hydroélectriques -- Québec (Nord)
Québec (Province) -- Politique énergétique",
La Chine boulimique,15/04/2013,"Matières premières -- Chine -- Exportations et importations
Matières premières -- Québec (Province) -- Exportations et importations
Mines -- Industrie -- Québec (Nord)
Mines -- Industrie
Développement économique -- Chine
Ressources minérales -- Exploitation -- Québec (Nord)
Entreprises chinoises -- Canada
Chine -- Politique et gouvernement
Chine -- Économie",
Pays de défis,15/04/2013,"Pergélisols -- Facteurs climatiques -- Québec (Province) -- Nord-du-Québec
Génie industriel -- Québec (Province) -- Nord-du-Québec
Climat -- Changements -- Aspect de l'environnement -- Québec (Province) -- Nord-du-Québec
Réchauffement de la terre -- Aspect de l'environnement -- Québec (Province) -- Nord-du-Québec
Québec (Nord) -- Economie",
Noble épinette,15/04/2013,"Chantiers Chibougamau (Firme)
Scieries -- Québec (Province)
Bois d'oeuvre -- Industrie et commerce -- Québec (Province)
Bois de haute technologie -- Québec (Province)
Construction en bois -- Québec (Province)",
Le Nord à l'envers,15/04/2013,"Osisko (Firme)
Barrick Gold (Firme)
Mines -- Industrie -- Aspect de l'environnement -- Chili
Mines -- Industrie -- Aspect de l'environnement -- Argentine
Or -- Mines et extraction -- Argentine
Mines -- Industrie -- Canada
Mouvements sociaux -- Chili
Or -- Mines et extraction -- Chili
Mouvements sociaux -- Argentine",
Le modèle du voisin,15/04/2013,"Projets de développement -- Québec (Nord)
Ressources naturelles -- Politique gouvernementale -- Ontario
Développement économique régional -- Politique gouvernementale -- Ontario
Premières nations -- Ontario -- Relations avec l'Etat
Projets de développement -- Ontario (Nord)
Autochtones -- Ontario -- Droits territoriaux
Développement économique régional -- Politique gouvernementale -- Québec (Province)
Aires protégées -- Planification -- Ontario
Autochtones -- Ontario -- Politique gouvernementale",
La dénature du loup,15/03/2013,"Loups -- Populations -- Québec (Province)
Coyotes -- Populations -- Québec (Province)
Hybridation animale -- Québec (Province)",
Musée tout étoiles,15/03/2013,"Planétarium Rio Tinto Alcan (Montréal, Québec)
Planétariums -- Québec (Province) -- Montréal
Exobiologie",
Menace sur notre intelligence,15/03/2013,"Carr, Nicholas. Internet rend-il bête?
Internet -- Aspect psychologique
Internet -- Aspect physiologique
Plasticité neuronale
Attention",
Sabotage en Sibérie,15/03/2013,"Vetrov, Vladimir Ippolitovitch
URSS. KGB
États-Unis. Central Intelligence Agency
Cov-can (Firme)
Farewell, Affaire, 1983
Espionnage informatique -- Russie -- Histoire
Espionnage soviétique -- Canada -- Histoire
Cyberterrorisme -- Etats-Unis -- Histoire
Service des renseignements -- Russie -- Histoire
Service des renseignements -- États-Unis -- Histoire",
Une histoire tirée par les cheveux...,15/03/2013,"Cheveux -- Aspect symbolique
Coiffure -- Aspect social -- Histoire",
Tout n'est pas dans les gènes,15/03/2013,"Génome humain -- Séquençage
Épigénétique
Hérédité humaine",
Montréal-Québec haute vitesse!,15/03/2013,"TrensQuébec (Projet)
Monorails -- Québec (Province)
Transports publics -- Innovations
Monorails -- Innovations
Transports publics -- Québec (Province)",
Il pleut des chauves-souris,15/03/2013,"Brunet, Richard
Chauves-souris -- Québec (Province)
Chauves-souris -- Maladies
Syndrome du museau blanc
Espèces en danger -- Québec (Province)",
Voyageuses immobiles,15/01/2013,"Controverses scientifiques
Paléobotanique -- Pléistocène
Nunatak
Espèces pionnières
Epoque glaciaire",
Une libellule nommée Pégase,15/01/2013,"Avions à propulsion humaine -- Québec (Province)
Avions -- Conception et construction",
"Soyez prudent, lâchez le volant!",15/01/2013,"Voitures intelligentes
Automobiles -- Innovations
Voitures autonomes
Automobiles -- Équipement électronique",
Les événements scientifiques qui ont marqué 2012 [dans le monde],15/01/2013,"Année 2012
Sciences",
La mesure du temps chez les Mayas,15/12/2012,"Calendrier maya
Temps -- Mesure -- Histoire",
Le modèle espagnol,15/12/2012,"Organisation nationale de transplantation (Espagne)
Dons d'organes de personnes vivantes -- Espagne
Mort -- Aspect physiologique
Dons d'organes, de tissus, etc. -- Espagne",
"Jour après jour, mois après mois",15/12/2012,"Temps -- Mesure -- Histoire
Calendrier -- Histoire
Calendrier -- Réforme",
"Lorenzo DiTommaso, directeur du département des sciences religieuses de l'Université Concordia",15/12/2012,"Tomasso, Lorenzo di
Fin du monde
Calendrier maya",
Organes recherchés,15/12/2012,"Dons d'organes, de tissus, etc. -- Aspect moral
Greffe
Dons d'organes, de tissus, etc. -- Québec (Province)
Mort cérébrale",
Morts suspectes chez les bélugas,15/12/2012,"Ether diphénylique polybromé -- Effets physiologiques
Béluga -- Mortalité -- Saint-Laurent (Fleuve)
Béluga -- Mortalité -- Québec (Province)",
"Le sucre, c'est pas du gâteau",15/12/2012,"Sucre -- Aspect de la santé
Aliments transformés -- Aspect de la santé
Maladies -- Aspect nutritionnel
Glucides dans l'alimentation",
La moitié pour la nature?,15/12/2012,"Nature -- Conservation
Forêts boréales -- Protection -- Québec (Province)
Québec (Province) -- Politique de l'environnement",
La fin du monde et puis après?,15/12/2012,"Calendrier maya
Année 2012
Mayas -- Histoire
Fin du monde -- Prévision
Occultisme",
"A l'assaut du \triangle des Bermudes spatial\""""",15/12/2012,"ConSat-1 (Satellite artificiel)
Satellites artificiels -- Conception et construction",
Le club des innovateurs,15/11/2012,"Prix Lionel-Boulet
Innovations technologiques et industrielles -- Québec (Province) -- Histoire -- Chronologie
Sciences -- Prix et récompenses -- Québec (Province)",
Chasseurs de neurones,15/11/2012,"Neurosciences -- Recherche -- Québec (Province) -- Montréal
Cerveau -- Maladies -- Recherche -- Québec (Province) -- Montréal",
Les bâtisseurs d'identité,15/11/2012,"Identité collective -- Recherche -- Québec (Province)
Identité culturelle -- Recherche -- Québec (Province)",
Les multiples visages de l'excellence,15/11/2012,"Prix du Québec
Sciences -- Prix et récompenses -- Québec (Province)",
Pour en finir avec le plafond de verre,15/11/2012,"Prix du Québec
Femmes scientifiques -- Québec (Province)
Sciences -- Orientation professionnelle -- Québec (Province)
Femmes dans les sciences -- Québec (Province)
Orientation professionnelle des femmes -- Québec (Province)",
Le 35e prix du Québec,15/11/2012,"Sciences -- Prix et récompenses -- Québec (Province) -- Histoire
Prix du Québec",
Un prix pour l'innovation sociale,15/11/2012,"Changement social -- Recherche -- Québec (Province)
Prix Marie-Andrée Bertrand
Sciences sociales -- Prix et récompenses -- Québec (Province)",
Grands explorateurs,15/11/2012,"Expéditions scientifiques -- Québec (Province) -- Nord-du-Québec -- Histoire
Etudes nordiques -- Québec (Province) -- Histoire
Nord-du-Québec (Québec) -- Recherche",
Au pays de la peste blanche,15/11/2012,"Epidémies -- Nunavut
Tuberculose, Lutte contre la -- Nunavut
Tuberculose -- Prévention
Tuberculose -- Nunavut
Inuit -- Nunavut -- Maladies",
"Gaétan Lafrance, professeur à l'Institut national de recherche scientifique",15/11/2012,"Lafrance, Gaëtan
Recherche -- Canada
Recherche -- Québec (Province)
Enseignement universitaire -- Programmes d'études -- Québec (Province)
Canada -- Politique scientifique et technique",
Terre cherche autres terres,15/11/2012,"Planètes habitables
Exoplanètes -- Observations -- Méthodologie
Exoplanètes",
Krokodil,15/11/2012,"Désomorphine
Toxicomanie -- Russie
Toxicomanes -- Russie
Drogues -- Consommation -- Russie
Toxicomanie -- Traitement -- Russie",
Une histoire électrisante,15/11/2012,"Hydro-Québec (Firme)
Lignes électriques
Electricité, Services publics d' -- Nationalisations -- Québec (Province) -- Histoire
Electricité -- Distribution -- Haute tension",
A l'ombre de Jupiter,15/11/2012,"Joli-Coeur, Laurent
Photographie spatiale -- Québec (Province)
Ombres -- Photographies
Astronomes amateurs -- Québec (Province)
Jupiter (Planète) -- Observations",
Pigeons envahisseurs ou égarés?,15/11/2012,"Pigeons -- Moeurs et comportement
Écologie urbaine
Oiseaux nuisibles
Relations humain-animal",
"Silence, on vole",15/11/2012,"Top Shot Image (Firme)
Drones -- Conception et construction
Cinéma -- Production et réalisation
Vues aériennes au cinéma",
Réservoirs pleins et ventres vides,15/11/2012,"Agriculture -- Aspect économique
Aliments -- Approvisionnement mondial
Biocarburants -- Aspect de l'environnement",
50 défis pour 2050,15/10/2012,"Développement durable -- Québec (Province)
Développement rural -- Québec (Province)
Économies d'énergie
Énergies renouvelables",
Sur les pistes d'une vie extraterrestre,15/10/2012,"Doyon, René
Lafrenière, David
Dufour, Patrick
Planètes habitables
Exoplanètes -- Spectre
Planètes -- Observations
Spectroscopie astronomique",
Les tisserands du quantique,15/10/2012,"Ordinateurs quantiques -- Recherche
Théorie de l'information en physique
Bits quantiques",
50 défis pour 2050,15/10/2012,"Robotique -- Recherche -- Québec (Province)
Technologie de l'information -- Aspect social",
50 défis pour 2050,15/10/2012,"Médecine préventive
Maladies -- Prévention
Épidémies
Médecine prédictive
Médecine régénératrice
Vieillissement, Lutte contre le",
Machos et mauviettes recherchés,15/10/2012,"Piro, Marie-Cécile
Matière noire (Astronomie)
Particules (Physique nucléaire) -- Recherche -- Québec (Province)
Détecteurs de particules
Particules (Physique nucléaire) -- Accélération
Wimps
Correspondance boson-fermion",
Comme un ours sur sa banquise,15/08/2012,"ADN -- Analyse
Ours blanc -- Origines
Ours blanc -- Génétique",
La bosse de la musique,15/08/2012,"Cerveau -- Imagerie
Cerveau -- Localisation cérébrale
Amusie
Perception de la musique",
La ruée vers les terres rares,15/08/2012,"Métaux des terres rares -- Mines et extraction
Métaux des terres rares -- Aspect de l'environnement
Métaux des terres rares -- Québec (Province)",
"Rapport Parent, prise 2!",15/08/2012,"Commission royale d'enquête sur l'enseignement dans la province de Québec. Rapport
Enseignement supérieur -- Accessibilité -- Québec (Province)
Grève étudiante, Québec, 2012
Grèves étudiantes -- Québec (Province)
Mouvements étudiants -- Québec (Province) -- Histoire
Education -- Politique gouvernementale -- Québec (Province) -- Histoire",
Vieilles souches,15/08/2012,"Paléobotanique -- Québec (Province) -- Québec, Région de
Forêts anciennes -- Québec (Province) -- Québec, Région de -- Histoire
Bois fossile -- Québec (Province) -- Québec, Région de
Paléobotanique -- Holocène",
Mars,15/08/2012,"Curiosity (Robot)
Robots d'exploration -- États-Unis
Mars (Planète) -- Exploration",
Mille bélugas pour la suite du monde,15/08/2012,"Pour la suite du monde (Film : Québec)
Béluga -- Populations -- Québec (Province)
Espèces en danger -- Québec (Province)",
Parler à travers son gant,15/08/2012,"Capteurs de mouvements -- Innovations
Langage par signes -- Traduction
Handicapés auditifs -- Moyens de communication",
"Les jeux olympiques sont une véritable téléréalité""""",15/08/2012,"Laberge, Suzanne
Sports -- Aspect social
Jeux olympiques
Sports -- Aspect économique",
La crème du Grand Nord,15/06/2012,"Allard, Marc
Nunavik Biosciences (Firme)
Produits de beauté -- Industrie et commerce -- Québec (Province) -- Nord-du-Québec
Algues dans les soins de beauté",
Le cimetière des abeilles,15/06/2012,"Abeilles -- Mortalité -- Québec (Province)
Insecticies -- Toxicologie
Néonicotinoïdes
Abeilles -- Effets des insecticides sur
Syndrome d'effondrement des colonies d'abeilles",
L'heure de vérité pour le boson de Higgs,15/06/2012,"Astrophysique -- Recherche -- Europe
Accélérateurs d'ions lourds -- Europe
Collisionneurs -- Europe
Physique des particules -- Recherche -- Europe
LHC (Accélérateur de particules)
Higgs, Boson de",
Le pont des soupirs,15/06/2012,"Ponts -- Conception et construction -- Histoire
Ponts -- Québec (Province) -- Montréal
Pont Champlain (Montréal, Québec)",
40 merveilles géologiques du Québec,15/06/2012,"Monuments naturels -- Québec (Province)
Géomorphologie -- Curiosités et merveilles -- Québec (Province)",
Pourquoi bâille-t-on?,15/06/2012,Bâillement,
"Christian Simard, directeur général de Nature Québec",15/06/2012,"Simard, Christian
Environnement -- Protection -- Aspect politique
Environnement -- Protection -- Aspect économique
Environnement -- Droit",
Mon ordi en inuktitut,15/06/2012,"Tatiggaq Evic, Leena
Centre Pirurvik (Organisme : Nunavut)
Informatique -- Traduction
Anglais (Langue) -- Traduction en inuktitut",
Prévoir l'extrême,15/06/2012,"Accident nucléaire de Fukushima, Japon, 2011
Catastrophes naturelles -- Réduction
Catastrophes naturelles -- Evaluation du risque
Tremblement de terre et tsunami du Nord-Est, Japon, 2011
Accidents nucléaires -- Japon",
Changement de cap,15/04/2012,"Economies d'énergie -- Recherche -- Québec (Province)
Energies renouvelables -- Recherche -- Québec (Province)
Ressources énergétiques -- Recherche -- Québec (Province)",
Le fond du baril,15/04/2012,"Énergies renouvelables -- Québec (Province)
Économies d'énergie -- Québec (Province)
Ressources énergétiques -- Aspect social
Acceptabilité sociale
Pétrole -- Réserves",
"Du sang pour tous, tout le temps",15/04/2012,"Cellules souches pluripotentes induites
Cellules souches -- Recherche
Sang -- Approvisionnement
Sang -- Transfusion
Sang -- Substituts -- Recherche
Cellules souches hématopoïétiques",
Dans le ciel de Laval,15/04/2012,"Téléphériques -- Conception et construction
Tramways -- Conception et construction
Tramways -- Québec (Province) -- Laval
Téléphériques -- Québec (Province) -- Laval",
Le lézard funambule,15/04/2012,"Full, Robert
Animaux -- Saut -- Physique
Lézards -- Locomotion
Moment angulaire
Robots -- Conception et construction
Biomimétique",
Le noir désir du Québec,15/04/2012,"Corridor Resources (Firme)
Pétrole -- Exploitation -- Aspect de l'environnement -- Québec (Province) -- Iles-de-la-Madeleine
Pétrole offshore -- Exploitation -- Aspect de l'environnement -- Saint-Laurent, Golfe du
Pétrole -- Prospection -- Québec (Province)
Pétrole offshore -- Saint-Laurent, Golfe du
Déversements de pétrole -- Aspect de l'environnement -- Saint-Laurent, Golfe du
Gaz naturel -- Prospection -- Québec (Province)
Old Harry (Gisement pétrolifère)",
Alouette sans fausse note,15/04/2012,"Alouette (Satellite artificiel)
Technologie spatiale -- Canada
Satellites artificiels -- Canada -- Histoire",
"La découverte 2011, le choix de nos lecteurs",15/04/2012,"Année 2011
Sciences -- Prix et récompenses -- Québec (Province)
Découvertes scientifiques -- Québec (Province)",
Le trésor du Titanic,15/04/2012,"Nargeolet, Paul-Henri
Titanic (Paquebot)
Accidents maritimes -- Atlantique, Océan -- Histoire
Epaves -- Atlantique, Océan
Fouilles sous-marines (Archéologie) -- Atlantique, Océan",
Phoques à la dérive,15/03/2012,"Glaces flottantes -- Facteurs climatiques -- Saint-Laurent, Golfe du
Réchauffement de la terre -- Aspect de l'environnement -- Saint-Laurent, Golfe du
Climat -- Changements -- Aspect de l'environnement -- Saint-Laurent, Golfe du
Phoque du Groenland -- Populations -- Canada
Phoque du Groenland -- Reproduction",
La géante de glace,15/03/2012,"Mouvement rotatoire
Météorologie spatiale
Uranus (Planète) -- Observations
Uranus (Planète) -- Atmosphère",
Pas de brume dans mes lunettes,15/03/2012,"Laroche, Gaétan
Verre -- Innovations
Technologie médicale -- Recherche -- Québec (Province)",
Nanotechnologies,15/03/2012,"Nanomatériaux -- Propriétés
Nanotechnologie -- Applications industrielles
Nanoparticules -- Aspect de la santé",
Des gènes en injection?,15/03/2012,Hémophilie -- Traitement par thérapie génique,
"On fait mourir de faim des milliers de gens pour gagner de l'argent""""",15/03/2012,"Ziegler, Jean
Aliments -- Approvisionnement -- Pays en voie de développement
Agriculture -- Financement
Agriculture -- Pays en voie de développement
Malnutrition
Pays en voie de développement -- Dettes extérieures",
Quand Montréal voulait toucher le ciel,15/03/2012,"Place Ville-Marie (Montréal, Québec)
Gratte-ciel -- Québec (Province) -- Montréal -- Histoire",
Le secret du mastodonte,15/03/2012,"Fouilles (Archéologie) -- Etats-Unis
Premières nations -- Amérique du Nord -- Préhistoire
Préhistoire -- Amérique du Nord -- Population
Outils préhistoriques -- Etats-Unis",
Les promesses du pétrole bleu,15/02/2012,"Bio Fuel Systems (Firme)
Biocarburants -- Recherche -- Espagne
Microalgues -- Recherche -- Espagne
Gaz carbonique -- Captage et stockage
Microalgues -- Génie génétique
Plantes -- Biotechnologie",
"Rémi Quirion, scientifique en chef du Québec",15/02/2012,"Quirion, Rémi
Recherche -- Québec (Province)
Innovations -- Québec (Province)
Québec (Province) -- Politique scientifique et technique",
Les 10 découvertes [scientifiques] de l'année [2011 au Québec],15/02/2012,"Année 2011
Découvertes scientifiques -- Québec (Province)",
Sida,15/02/2012,"Pépin, Jacques. Origins of AIDS
Sida -- Histoire",
Le savon à tout faire,15/02/2012,"Saleh, Ahmad
Rhamnolipides
Biorestauration
Génome bactérien -- Séquençage
Biotechnologie environnementale -- Recherche -- Québec (Province)
Génie génétique microbien -- Recherche -- Québec (Province)",
Dans le monde,15/02/2012,"Année 2011
Sciences",
Le grand nettoyage végétal,15/12/2011,"Phytorestauration
Phytoextraction
Sols -- Décontamination -- Québec (Province) -- Montréal, Région de
Plantes (Agents de lutte biologique)
Sites contaminés -- Québec (Province) -- Montréal, Région de",
"La muscu, pas si cool!",15/12/2011,"Musculation -- Aspect de la santé
Beauté corporelle
Compléments alimentaires -- Aspect de la santé
Adolescents -- Lésions et blessures
Lésions et blessures -- Etiologie et facteurs de risque
Compléments alimentaires -- Abus",
"Crêpes stellaires, univers chiffonné et autres nouvelles du cosmos",15/12/2011,"Luminet, Jean-Pierre
Astrophysique
Cosmologie
Astronomie",
Insomnia,15/12/2011,"Insomnie -- Canada
Insomnie -- Histoire
Insomnie -- Aspect social
Insomnie -- Traitement
Somnifères",
La circulation urbaine,15/12/2011,"Lewis, Paul
Déplacements quotidiens -- Québec (Province) -- Montréal
Circulation urbaine -- Québec (Province) -- Montréal",
Du vent dans les roues,15/12/2011,"Courses automobiles -- Pays-Bas
Chinook (Voiture)
Automobiles expérimentales",
Compte rendu du livre Une agriculture qui goûte autrement : histoires de productions locales de l'Amérique du Nord à l'Europe de H. Raymond et J. Mathé ,15/12/2011,"Raymond, Hélène. Agriculture qui goûte autrement
Mathé, Jacques. Agriculture qui goûte autrement",
Chercheurs de traces,15/12/2011,"CyberTracker (Logiciel)
Faune -- Aménagement
Empreintes animales -- Identification
Animaux -- Comptage -- Logiciels
Animaux -- Populations",
Le bilinguisme c'est for me... dable!,15/12/2011,"Multilinguisme
Langage -- Aspect physiologique
Cerveau -- Physiologie
Bilinguisme
Langage -- Acquisition",
Vieillir dans un monde qui bouge,15/11/2011,"Cerveau -- Vieillissement
Cerveau -- Dégénérescence
Vieillissement, Lutte contre le
Agents neuroprotecteurs
Cerveau -- Lésions et blessures -- Recherche",
Vieillir dans un monde qui bouge,15/11/2011,"Charpentier, Michèle
Vieillesse -- Aspect social -- Québec (Province)
Vieillissement de la population -- Québec (Province)",
Vieillir dans un monde qui bouge,15/11/2011,"Génération du baby-boom -- Retraite -- Québec (Province)
Retraités -- Québec (Province)
Personnes âgées -- Québec (Province)
Personnes âgées -- Santé, Services de -- Québec (Province)
Vieillesse -- Aspect social -- Québec (Province)",
Vieillir dans un monde qui bouge,15/11/2011,"Domotique -- Recherche -- Québec (Province)
Personnes âgées non autonomes -- Québec (Province)
Logements adaptés pour personnes âgées -- Recherche -- Québec (Province)
Maintien à domicile
Système ostéo-musculaire -- Lésions et blessures -- Diagnostic",
Crise financière,15/11/2011,"Finances -- Gestion du risque
Marché financier -- Régulation
Analyse financière
Investisseurs -- Psychologie
Crises financières -- Prévision",
Comment Terre-Neuve va court-circuiter le Québec,15/11/2011,"Réseaux électriques (Energie) -- Amérique du Nord
Centrales hydroélectriques -- Terre-Neuve-et-Labrador -- Labrador
Ressources énergétiques -- Terre-Neuve-et-Labrador
Electricité -- Transport -- Courant alternatif
Electricité -- Transport -- Courant continu
Lignes électriques -- Aspect de l'environnement",
La cure de Marie,15/11/2011,"Curie, Marie
Physiciennes -- France -- Biographies
Cancer -- Traitement par radiothérapie -- France -- Histoire",
"Jeux virtuels, violence réelle",15/11/2011,"Jeux vidéo et jeunesse
Jeux vidéo -- Aspect psychologique
Violence dans les jeux vidéo -- Aspect psychologique",
"Aime ta vache, ta vache t'aimera",15/11/2011,"Passillé, Anne-Marie de
Animaux domestiques, Traitement des
Elevage",
La science à la barre,15/11/2011,"Meurtres -- Facteurs de risque
Personnes vivant avec un trouble de santé mentale violentes -- Droit
Criminels vivant avec un trouble de santé mentale -- Droit
Cerveau -- Imagerie
Activité cérébrale
Crimes violents -- Facteurs de risque
Imagerie par résonance magnétique
Responsabilité pénale
Neuropsychologie légale",
